<2016-10-03 15:13:28,989> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:31,194> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160930/52080.html Title:2016年动作《美国迦顿》BD中英双字幕
<2016-10-03 15:13:31,200> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160930/52079.html Title:2016年悬疑恐怖《诡新娘/鬼新娘》HD国语中字
<2016-10-03 15:13:31,206> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160929/52072.html Title:2016年爱情喜剧《我最好朋友的婚礼》HD国语中字
<2016-10-03 15:13:31,210> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160929/52071.html Title:2015年科幻《森林深处/进入森林》BD中英双字幕
<2016-10-03 15:13:31,213> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160928/52065.html Title:2016年悬疑恐怖《安娜华特的离奇命运》BD中英双字幕
<2016-10-03 15:13:31,217> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160927/52059.html Title:2015年奇幻动作《麦斯卡：黑暗孢子》BD中英双字幕
<2016-10-03 15:13:31,221> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160927/52058.html Title:2016年悬疑惊悚《张震讲故事之合租屋》HD国语中字
<2016-10-03 15:13:31,226> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160926/52052.html Title:2016年伍迪·艾伦执导喜剧《咖啡公社》BD中英双字幕
<2016-10-03 15:13:31,230> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160926/52051.html Title:2016年恐怖《黑暗/米兰达街6号》BD中英双字幕
<2016-10-03 15:13:31,242> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160926/52050.html Title:2016年爱情《爱情与友谊/情人与知己》BD中英双字幕
<2016-10-03 15:13:31,246> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160925/52042.html Title:2016年科幻动作《独立日：卷土重来》HD中英双字幕
<2016-10-03 15:13:31,256> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160923/52023.html Title:2016年冒险动作《终极硬汉》HD国语中字
<2016-10-03 15:13:31,265> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160922/52017.html Title:2016年惠英红《幸运是我》HD国粤双语中字
<2016-10-03 15:13:31,266> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160921/52010.html Title:2016年动作《泰山归来：险战丛林》HD中英双字幕
<2016-10-03 15:13:31,269> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160921/52009.html Title:2016年惊悚《悬案密码/信仰的阴谋》BD中英双字幕
<2016-10-03 15:13:31,278> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160930/52080.html
<2016-10-03 15:13:31,664> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160930/52079.html
<2016-10-03 15:13:31,763> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160929/52072.html
<2016-10-03 15:13:31,823> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160929/52071.html
<2016-10-03 15:13:31,878> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160928/52065.html
<2016-10-03 15:13:31,926> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html
<2016-10-03 15:13:32,026> ERROR/dytt_spider/getHomePageMovieDetail, Line:183: get url :http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html failed
<2016-10-03 15:13:32,028> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160927/52058.html
<2016-10-03 15:13:32,032> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:32,082> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160926/52052.html
<2016-10-03 15:13:32,150> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160926/52051.html
<2016-10-03 15:13:32,506> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160926/52050.html
<2016-10-03 15:13:32,506> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160930/52080.html Title:2016年动作《美国迦顿》BD中英双字幕
<2016-10-03 15:13:32,507> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160930/52079.html Title:2016年悬疑恐怖《诡新娘/鬼新娘》HD国语中字
<2016-10-03 15:13:32,509> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160929/52072.html Title:2016年爱情喜剧《我最好朋友的婚礼》HD国语中字
<2016-10-03 15:13:32,509> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160929/52071.html Title:2015年科幻《森林深处/进入森林》BD中英双字幕
