<2016-10-04 16:03:21,677> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52101.html
<2016-10-04 16:03:22,638> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52100.html
<2016-10-04 16:03:23,509> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52087.html
<2016-10-04 16:03:24,388> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52086.html
<2016-10-04 16:03:25,257> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52085.html
<2016-10-04 16:03:26,063> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160929/52073.html
<2016-10-04 16:03:26,927> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160928/52066.html
<2016-10-04 16:03:27,831> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160924/52032.html
<2016-10-04 16:03:28,711> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160924/52030.html
<2016-10-04 16:03:29,573> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160923/52025.html
<2016-10-04 16:03:30,450> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160923/52024.html
<2016-10-04 16:03:31,311> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160922/52018.html
<2016-10-04 16:03:32,207> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160920/52002.html
<2016-10-04 16:04:56,453> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52101.html
<2016-10-04 16:04:57,085> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52100.html
<2016-10-04 16:04:57,733> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52087.html
<2016-10-04 16:04:58,351> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52086.html
<2016-10-04 16:04:59,019> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52085.html
<2016-10-04 16:04:59,608> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160929/52073.html
<2016-10-04 16:05:00,233> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160928/52066.html
<2016-10-04 16:05:08,167> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52101.html
<2016-10-04 16:05:08,691> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52101.html
<2016-10-04 16:05:09,542> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52100.html
<2016-10-04 16:05:10,404> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52087.html
<2016-10-04 16:05:11,184> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52086.html
<2016-10-04 16:05:11,792> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52085.html
<2016-10-04 16:05:12,414> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160929/52073.html
<2016-10-04 16:05:13,040> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160928/52066.html
<2016-10-04 16:05:13,700> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160924/52032.html
<2016-10-04 16:05:14,362> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160924/52030.html
<2016-10-04 16:05:15,266> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160923/52025.html
<2016-10-04 16:05:16,154> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160923/52024.html
<2016-10-04 16:05:17,000> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160922/52018.html
<2016-10-04 16:05:17,878> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160920/52002.html
<2016-10-04 16:05:18,767> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51994.html
<2016-10-04 16:05:19,641> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html
<2016-10-04 16:05:20,589> ERROR/dytt_spider/getHomePageMovieDetail, Line:187: get url :http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html failed
<2016-10-04 16:06:18,477> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52101.html
<2016-10-04 16:06:19,641> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52100.html
<2016-10-04 16:06:20,296> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52087.html
<2016-10-04 16:06:20,990> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52086.html
<2016-10-04 16:06:21,638> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52085.html
<2016-10-04 16:06:22,296> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160929/52073.html
<2016-10-04 16:06:22,924> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160928/52066.html
<2016-10-04 16:06:23,572> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160924/52032.html
<2016-10-04 16:06:24,243> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160924/52030.html
<2016-10-04 16:06:24,884> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160923/52025.html
<2016-10-04 16:06:25,526> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160923/52024.html
<2016-10-04 16:06:26,176> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160922/52018.html
<2016-10-04 16:06:26,806> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160920/52002.html
<2016-10-04 16:06:27,494> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51994.html
<2016-10-04 16:06:28,447> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html
<2016-10-04 16:06:31,213> ERROR/dytt_spider/getHomePageMovieDetail, Line:187: get url :http://www.ygdy8.net/html/gndy/dyzz/20160919/51993.html failed
<2016-10-04 16:06:33,486> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/jddy/20160930/52080.html
<2016-10-04 16:06:34,334> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/jddy/20160930/52079.html
<2016-10-04 16:06:35,184> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/jddy/20160929/52072.html
<2016-10-04 16:06:36,045> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/jddy/20160929/52071.html
<2016-10-04 16:06:36,869> INFO/dytt_spider/get_movie_detail_res, Line:100: URL:http://www.ygdy8.net/html/gndy/jddy/20160928/52065.html
<2016-10-04 16:19:50,714> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52101.html
<2016-10-04 16:19:51,207> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52101.html
<2016-10-04 16:19:51,382> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52100.html
<2016-10-04 16:19:51,894> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52100.html
<2016-10-04 16:19:52,032> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52087.html
<2016-10-04 16:19:52,503> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52087.html
<2016-10-04 16:19:52,673> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52086.html
<2016-10-04 16:19:53,256> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52086.html
<2016-10-04 16:19:53,328> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52085.html
<2016-10-04 16:19:53,901> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20161002/52085.html
<2016-10-04 16:19:53,940> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160929/52073.html
<2016-10-04 16:19:54,496> INFO/dytt_spider/get_movie_detail_res, Line:107: URL:http://www.ygdy8.net/html/gndy/dyzz/20160929/52073.html
