<2016-10-08 19:02:58,546> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'1', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:10,456> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:10,693> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'1', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,377> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,391> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,391> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,392> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,407> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,427> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,482> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,483> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,552> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,569> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,572> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,575> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,621> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,663> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
<2016-10-08 19:03:23,786> INFO/views/movie, Line:11: {u'sort_type': u'0', u'movie_type': u'1', u'page_index': u'3', u'per_page_size': u'12', u'mode': u'list'}
